primary_disease,interaction,percent_overlap_GDSC,percent_overlap_CTRP
"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",ILK-AKAP8,33.33,33.33
"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",ILK-TUBB6,33.33,33.33
"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)",GTF2A2-POLR2K,33.33,33.33
Adenocarcinoma,GLI2-USP7,9.52,12.7
Adenocarcinoma,RAE1-MTHFD2,8.73,7.14
Adenocarcinoma,HSPA8-CD40,7.94,8.73
Adenocarcinoma,GLI2-SMAD3,7.94,7.14
"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",PTK2B-SYK,80.0,60.0
"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",IKBKB-NFKB2,80.0,60.0
"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",CDK4-CDKN1A,60.0,60.0
"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",CDK4-BCL2,60.0,40.0
"Acute Myelogenous Leukemia (AML), M6 (Erythroleukemia)",JUN-NOLC1,40.0,40.0
"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",SHC1-IL4R,62.5,87.5
"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",RHOA-S100A4,62.5,62.5
"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",ILK-AKAP8,37.5,50.0
"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",RAE1-MTHFD2,37.5,37.5
"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",ILK-TUBB6,37.5,50.0
"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",UGDH-HSPB1,25.0,37.5
"Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)",CHEK2-RAD9A,25.0,37.5
Melanoma,NFKBIA-AKT1,18.29,13.41
Melanoma,CHEK2-RAD9A,17.07,12.2
Melanoma,CHEK2-GNAS,14.63,12.2
Melanoma,CHEK2-CHEK1,13.41,10.98
Melanoma,UGDH-HSPB1,13.41,18.29
"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",CDK2-PSMD2,16.67,11.11
"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma",ERBB3-HSPA1A,16.67,16.67
Renal Cell Carcinoma,UBQLN2-EDEM1,24.24,27.27
Renal Cell Carcinoma,INSIG1-HMGCR,21.21,30.3
Renal Cell Carcinoma,MBTPS1-HDAC2,18.18,27.27
Renal Cell Carcinoma,HDAC2-NR3C1,9.09,21.21
Renal Cell Carcinoma,PNKP-NOLC1,9.09,12.12
"Acute Lymphoblastic Leukemia (ALL), B-cell",UGDH-HSPB1,57.69,46.15
"Acute Lymphoblastic Leukemia (ALL), B-cell",CHEK2-RAD9A,38.46,26.92
"Acute Lymphoblastic Leukemia (ALL), B-cell",CHEK2-GNAS,23.08,19.23
"Acute Lymphoblastic Leukemia (ALL), B-cell",SHC1-IL4R,23.08,23.08
"Ductal Adenocarcinoma, exocrine",HSPA8-CD40,31.37,25.49
"Ductal Adenocarcinoma, exocrine",CCDC85B-ZFP36,19.61,9.8
Multiple Myeloma,SHC1-IL4R,46.67,53.33
Multiple Myeloma,UGDH-HSPB1,46.67,43.33
Multiple Myeloma,ABL1-RASA1,36.67,13.33
Multiple Myeloma,CHEK2-RAD9A,33.33,20.0
Multiple Myeloma,CHEK2-GNAS,26.67,26.67
Multiple Myeloma,CHEK2-CHEK1,26.67,26.67
Multiple Myeloma,CASP7-NUCB2,20.0,26.67
Multiple Myeloma,CDK4-CDKN1A,13.33,13.33
Meningioma,RB1-FOXO3,33.33,33.33
Meningioma,PIK3C2B-SHC1,33.33,33.33
